"_time",Computer,User,IpAddress,"attack_type","risk_score","risk_level"
"2026-05-20T20:15:36.000+0530",MSEDGEWIN10,,,"PowerShell Execution",90,High
"2026-05-20T20:15:36.000+0530",MSEDGEWIN10,,,"PowerShell Execution",90,High
"2026-05-20T20:15:36.000+0530",MSEDGEWIN10,,,"PowerShell Execution",90,High
"2026-05-20T20:15:36.000+0530",MSEDGEWIN10,,"-","Failed Login",70,Medium
"2026-05-20T20:15:36.000+0530","PC01.example.corp",,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530","PC01.example.corp",,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530","PC01.example.corp",,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530","PC01.example.corp",,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530","PC01.example.corp",,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530","PC01.example.corp",,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530","PC01.example.corp",,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530","PC01.example.corp",,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530","PC01.example.corp",,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530","PC01.example.corp",,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530","PC01.example.corp",,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530","PC01.example.corp",,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530","PC01.example.corp",,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530","PC01.example.corp",,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530","PC01.example.corp",,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530","PC01.example.corp",,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530","PC01.example.corp",,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530",IEWIN7,,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530",IEWIN7,,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530",IEWIN7,,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530",IEWIN7,,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530",IEWIN7,,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530",IEWIN7,,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530",IEWIN7,,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530",IEWIN7,,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530","WIN-77LTAPHIQ1R.example.corp",,,"Process Execution",60,Medium
"2026-05-20T20:15:36.000+0530","WIN-77LTAPHIQ1R.example.corp",,,"Process Execution",60,Medium
