time,attack_type,risk_score,risk_level,source,event
2026-05-21 01:15:12.454708,Mac Failed Login,70,Medium,Mac Local System,"Filtering the log data using ""composedMessage CONTAINS[c] ""authentication failure"" OR composedMessage CONTAINS[c] ""incorrect password"" OR composedMessage CONTAINS[c] ""Failed to authenticate"""""
2026-05-21 01:16:33.326860,Mac Failed Login,70,Medium,Mac Local System,"Filtering the log data using ""composedMessage CONTAINS[c] ""authentication failure"" OR composedMessage CONTAINS[c] ""incorrect password"" OR composedMessage CONTAINS[c] ""Failed to authenticate"""""
2026-05-21 01:33:09.803783,Mac Failed Login,70,Medium,Mac Local System,"Filtering the log data using ""composedMessage CONTAINS[c] ""authentication failure"" OR composedMessage CONTAINS[c] ""incorrect password"" OR composedMessage CONTAINS[c] ""Failed to authenticate"""""
2026-05-21 01:35:39.311221,Mac Failed Login,70,Medium,Mac Local System,"Filtering the log data using ""process == ""sudo"" AND composedMessage CONTAINS[c] ""incorrect password"""""
2026-05-21 01:36:22.393105,Mac Failed Login,70,Medium,Mac Local System,"Filtering the log data using ""process == ""sudo"" AND composedMessage CONTAINS[c] ""incorrect password"""""
2026-05-21 01:44:31.787540,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.787 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:31.788118,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.787 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] invalidated after a failed init
2026-05-21 01:44:31.798855,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.798 E  ecosystemanalyticsd[53070:660b6c] (EcosystemAnalytics) EcosystemAnalytics.framework:RosettaCoordinator: getCodeSignatureInfo: SecStaticCodeCreate Failed url: <private>
2026-05-21 01:44:31.824825,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.824 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:31.824890,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.824 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] invalidated after a failed init
2026-05-21 01:44:31.825654,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.825 E  ecosystemanalyticsd[53070:660b6c] (EcosystemAnalytics) EcosystemAnalytics.framework:RosettaCoordinator: getCodeSignatureInfo: SecStaticCodeCreate Failed url: <private>
2026-05-21 01:44:31.829130,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.828 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:31.829385,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.829 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] invalidated after a failed init
2026-05-21 01:44:31.837419,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.837 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
